id,prime_name,top_10,synonyms/0,synonyms/1,synonyms/2,synonyms/3,synonyms/4
0,Abouriou,,,,,,
1,Aglianico,,,,,,
2,Albariño,,Albarino,Alvarinho,,,
3,Albillo,,,,,,
4,Aléatico,,,,,,
5,Alfrocheiro,,,,,,
6,Alicante Bouschet,,Alicante Henri Bouschet,Alicante Bouschet,,,
7,Aligoté,,,,,,
8,Alphonse Lavallée,,,,,,
9,Alvarelhao,,,,,,
10,Ancellotta,,,,,,
11,Ansonica,,Inzolia,Insolia,,,
12,Aranel,,,,,,
13,Arinto,,,,,,
14,Arneis,,,,,,
15,Assyrtiko,,,,,,
16,Azal,,,,,,
17,Aubun,,,,,,
18,Auxerrois,,Aucerot,,,,
19,Barbera,,,,,,
20,Bastardo,,Trousseau,,,,
21,Bianco d'Alessano,,,,,,
22,Biancone,,,,,,
23,Black Corinth,,Zante Currant,,,,
24,Blaufrankisch,,Blaufränkisch,Blaufraenkisch,Limberger,Lemberger,
25,Boal Branco,,Malvasia Fina,,,,
26,Bonvedro,,Parraleta,Caracajolo Nero,Tinta Caiada,,
27,Bourboulenc,,,,,,
28,Brachetto,,,,,,
29,Brown Frontignac,,Brown Muscat,Muscat à petits grains rouges,,,
30,Burger,,,,,,
31,Cabernet Franc,,,,,,
32,Cabernet Sauvignon,true,Cabernet,,,,
33,Canaiolo,,,,,,
34,Cañocazo,,,,,,
35,Cardinal,,,,,,
36,Carignan,,Carignane,Mazuela,,,
37,Carina,,,,,,
38,Carmenère,,,,,,
39,Carnelian,,,,,,
40,Cascade,,,,,,
41,Cesanese,,,,,,
42,Chambourcin,,,,,,
43,Chardonnay,true,,,,,
44,Chardonnay Musque,,,,,,
45,Chasselas,,,,,,
46,Chenin Blanc,,,,,,
47,Cienna,,,,,,
48,Cinsaut,,Oeillade,Blue Imperial,,,
49,Clairette,,Blanquette,,,,
50,Colombard,,,,,,
51,Colorino,,,,,,
52,Cortese,,,,,,
53,Corvina,,,,,,
54,Counoise,,,,,,
55,Crouchen,,,,,,
56,Cygne Blanc,,,,,,
57,Dolcetto,,,,,,
58,Doradillo,,Cayetana Blanca,,,,
59,Dourado,,Galego Dourado,,,,
60,Durif,,Petite Sirah,,,,
61,Ehrenfelser,,,,,,
62,Emerald Riesling,,,,,,
